id,name,role,target_origin,true_origin,source_rank,label
atom-0081,Xiaohong,given,C,C,42,1
atom-0082,Xiaohong,given,J,C,42,0
atom-0083,Zhiqiang,given,C,C,43,1
atom-0084,Zhiqiang,given,J,C,43,0
atom-0085,Lan,given,C,C,44,1
atom-0086,Lan,given,J,C,44,0
atom-0087,Kun,given,C,C,45,1
atom-0088,Kun,given,J,C,45,0
atom-0089,Lijun,given,C,C,46,1
atom-0090,Lijun,given,J,C,46,0
atom-0091,Xiaoli,given,C,C,47,1
atom-0092,Xiaoli,given,J,C,47,0
atom-0093,Jianguo,given,C,C,48,1
atom-0094,Jianguo,given,J,C,48,0
atom-0095,Jianjun,given,C,C,49,1
atom-0096,Jianjun,given,J,C,49,0
atom-0097,Xiaoping,given,C,C,50,1
atom-0098,Xiaoping,given,J,C,50,0
atom-0099,Meng,given,C,C,51,1
atom-0100,Meng,given,J,C,51,0
atom-0101,Tingting,given,C,C,52,1
atom-0102,Tingting,given,J,C,52,0
atom-0103,Lijuan,given,C,C,53,1
atom-0104,Lijuan,given,J,C,53,0
atom-0105,Shan,given,C,C,54,1
atom-0106,Shan,given,J,C,54,0
atom-0107,Zhi,given,C,C,55,1
atom-0108,Zhi,given,J,C,55,0
atom-0109,Xiaoling,given,C,C,56,1
atom-0110,Xiaoling,given,J,C,56,0
atom-0111,Yuanyuan,given,C,C,57,1
atom-0112,Yuanyuan,given,J,C,57,0
atom-0113,Xiaodong,given,C,C,58,1
atom-0114,Xiaodong,given,J,C,58,0
atom-0115,Xiaoming,given,C,C,59,1
atom-0116,Xiaoming,given,J,C,59,0
atom-0117,Xing,given,C,C,61,1
atom-0118,Xing,given,J,C,61,0
atom-0119,Jingjing,given,C,C,62,1
atom-0120,Jingjing,given,J,C,62,0
atom-0121,Zhiyong,given,C,C,63,1
atom-0122,Zhiyong,given,J,C,63,0
atom-0123,Yanping,given,C,C,64,1
atom-0124,Yanping,given,J,C,64,0
atom-0125,Xiaohua,given,C,C,65,1
atom-0126,Xiaohua,given,J,C,65,0
atom-0127,Xuan,given,C,C,66,1
atom-0128,Xuan,given,J,C,66,0
atom-0129,Xiaofeng,given,C,C,67,1
atom-0130,Xiaofeng,given,J,C,67,0
atom-0131,Jianming,given,C,C,68,1
atom-0132,Jianming,given,J,C,68,0
atom-0133,Weidong,given,C,C,69,1
atom-0134,Weidong,given,J,C,69,0
atom-0135,Di,given,C,C,70,1
atom-0136,Di,given,J,C,70,0
atom-0137,Huan,given,C,C,71,1
atom-0138,Huan,given,J,C,71,0
atom-0139,Xiaojun,given,C,C,72,1
atom-0140,Xiaojun,given,J,C,72,0
atom-0141,Shuang,given,C,C,73,1
atom-0142,Shuang,given,J,C,73,0
atom-0143,Qiong,given,C,C,74,1
atom-0144,Qiong,given,J,C,74,0
atom-0145,Zhigang,given,C,C,75,1
atom-0146,Zhigang,given,J,C,75,0
atom-0147,Xiaoying,given,C,C,76,1
atom-0148,Xiaoying,given,J,C,76,0
atom-0149,Zhiming,given,C,C,77,1
atom-0150,Zhiming,given,J,C,77,0
atom-0151,Jianfeng,given,C,C,78,1
atom-0152,Jianfeng,given,J,C,78,0
atom-0153,Xiaomei,given,C,C,79,1
atom-0154,Xiaomei,given,J,C,79,0
atom-0155,Xiaohui,given,C,C,80,1
atom-0156,Xiaohui,given,J,C,80,0
atom-0157,Hongmei,given,C,C,81,1
atom-0158,Hongmei,given,J,C,81,0
atom-0159,Zhiwei,given,C,C,82,1
atom-0160,Zhiwei,given,J,C,82,0
atom-0161,Xuemei,given,C,C,83,1
atom-0162,Xuemei,given,J,C,83,0
atom-0163,Long,given,C,C,84,1
atom-0164,Long,given,J,C,84,0
atom-0165,Chunyan,given,C,C,85,1
atom-0166,Chunyan,given,J,C,85,0
atom-0167,Weiwei,given,C,C,86,1
atom-0168,Weiwei,given,J,C,86,0
atom-0169,Hongwei,given,C,C,87,1
atom-0170,Hongwei,given,J,C,87,0
atom-0171,Dongmei,given,C,C,88,1
atom-0172,Dongmei,given,J,C,88,0
atom-0173,Shu,given,C,C,89,1
atom-0174,Shu,given,J,C,89,0
atom-0175,Jinhua,given,C,C,90,1
atom-0176,Jinhua,given,J,C,90,0
atom-0177,Zhihua,given,C,C,91,1
atom-0178,Zhihua,given,J,C,91,0
atom-0179,Guoqiang,given,C,C,92,1
atom-0180,Guoqiang,given,J,C,92,0
atom-0181,Hai,given,C,C,93,1
atom-0182,Hai,given,J,C,93,0
atom-0183,Song,given,C,C,94,1
atom-0184,Song,given,J,C,94,0
atom-0185,Hongyan,given,C,C,95,1
atom-0186,Hongyan,given,J,C,95,0
atom-0187,Xiaoyu,given,C,C,96,1
atom-0188,Xiaoyu,given,J,C,96,0
atom-0189,Jianxin,given,C,C,97,1
atom-0190,Jianxin,given,J,C,97,0
atom-0191,Guohua,given,C,C,98,1
atom-0192,Guohua,given,J,C,98,0
atom-0193,Han,given,C,C,99,1
atom-0194,Han,given,J,C,99,0
atom-0195,Jianzhong,given,C,C,100,1
atom-0196,Jianzhong,given,J,C,100,0
atom-0197,Chun,given,C,C,101,1
atom-0198,Chun,given,J,C,101,0
atom-0199,Zhijun,given,C,C,102,1
atom-0200,Zhijun,given,J,C,102,0
atom-0201,Kenji,given,C,J,1,0
atom-0202,Kenji,given,J,J,1,1
atom-0203,Hiroshi,given,C,J,2,0
atom-0204,Hiroshi,given,J,J,2,1
atom-0205,Shigeru,given,C,J,3,0
atom-0206,Shigeru,given,J,J,3,1
atom-0207,Sachiko,given,C,J,4,0
atom-0208,Sachiko,given,J,J,4,1
atom-0209,Masako,given,C,J,5,0
atom-0210,Masako,given,J,J,5,1
atom-0211,Katsumi,given,C,J,6,0
atom-0212,Katsumi,given,J,J,6,1
atom-0213,Yoko,given,C,J,7,0
atom-0214,Yoko,given,J,J,7,1
atom-0215,Michiko,given,C,J,8,0
atom-0216,Michiko,given,J,J,8,1
atom-0217,Toshio,given,C,J,9,0
atom-0218,Toshio,given,J,J,9,1
atom-0219,Yoshiko,given,C,J,10,0
atom-0220,Yoshiko,given,J,J,10,1
atom-0221,Hiromi,given,C,J,11,0
atom-0222,Hiromi,given,J,J,11,1
atom-0223,Hiroko,given,C,J,12,0
atom-0224,Hiroko,given,J,J,12,1
atom-0225,Yoshio,given,C,J,13,0
atom-0226,Yoshio,given,J,J,13,1
atom-0227,Kazuo,given,C,J,14,0
atom-0228,Kazuo,given,J,J,14,1
atom-0229,Akira,given,C,J,15,0
atom-0230,Akira,given,J,J,15,1
atom-0231,Keiko,given,C,J,16,0
atom-0232,Keiko,given,J,J,16,1
atom-0233,Hisako,given,C,J,17,0
atom-0234,Hisako,given,J,J,17,1
atom-0235,Yoshimi,given,C,J,18,0
atom-0236,Yoshimi,given,J,J,18,1
atom-0237,Fumiko,given,C,J,19,0
atom-0238,Fumiko,given,J,J,19,1
atom-0239,Masao,given,C,J,20,0
atom-0240,Masao,given,J,J,20,1
atom-0241,Toshiko,given,C,J,21,0
atom-0242,Toshiko,given,J,J,21,1
atom-0243,Kiyoshi,given,C,J,22,0
atom-0244,Kiyoshi,given,J,J,22,1
atom-0245,Takashi,given,C,J,23,0
atom-0246,Takashi,given,J,J,23,1
atom-0247,Yukio,given,C,J,24,0
atom-0248,Yukio,given,J,J,24,1
atom-0249,Hideo,given,C,J,25,0
atom-0250,Hideo,given,J,J,25,1
atom-0251,Koshi,given,C,J,26,0
atom-0252,Koshi,given,J,J,26,1
atom-0253,Yasuko,given,C,J,27,0
atom-0254,Yasuko,given,J,J,27,1
atom-0255,Koichi,given,C,J,28,0
atom-0256,Koichi,given,J,J,28,1
atom-0257,Reiko,given,C,J,29,0
atom-0258,Reiko,given,J,J,29,1
atom-0259,Koji,given,C,J,30,0
atom-0260,Koji,given,J,J,30,1
atom-0261,Takeshi,given,C,J,31,0
atom-0262,Takeshi,given,J,J,31,1
atom-0263,Takako,given,C,J,32,0
atom-0264,Takako,given,J,J,32,1
atom-0265,Tadashi,given,C,J,33,0
atom-0266,Tadashi,given,J,J,33,1
atom-0267,Miyoko,given,C,J,34,0
atom-0268,Miyoko,given,J,J,34,1
atom-0269,Tomiko,given,C,J,35,0
atom-0270,Tomiko,given,J,J,35,1
atom-0271,Emiko,given,C,J,36,0
atom-0272,Emiko,given,J,J,36,1
atom-0273,Shizuko,given,C,J,37,0
atom-0274,Shizuko,given,J,J,37,1
atom-0275,Noriko,given,C,J,38,0
atom-0276,Noriko,given,J,J,38,1
atom-0277,Yuko,given,C,J,39,0
atom-0278,Yuko,given,J,J,39,1
atom-0279,Kiyoko,given,C,J,40,0
atom-0280,Kiyoko,given,J,J,40,1
atom-0281,Ko,given,C,J,41,0
atom-0282,Ko,given,J,J,41,1
atom-0283,Nobuko,given,C,J,42,0
atom-0284,Nobuko,given,J,J,42,1
atom-0285,Mieko,given,C,J,43,0
atom-0286,Mieko,given,J,J,43,1
atom-0287,Yoshie,given,C,J,44,0
atom-0288,Yoshie,given,J,J,44,1
atom-0289,Shoji,given,C,J,45,0
atom-0290,Shoji,given,J,J,45,1
atom-0291,Masami,given,C,J,46,0
atom-0292,Masami,given,J,J,46,1
atom-0293,Teruko,given,C,J,47,0
atom-0294,Teruko,given,J,J,47,1
atom-0295,Mitsuo,given,C,J,48,0
atom-0296,Mitsuo,given,J,J,48,1
atom-0297,Ryoko,given,C,J,49,0
atom-0298,Ryoko,given,J,J,49,1
atom-0299,Yasuo,given,C,J,50,0
atom-0300,Yasuo,given,J,J,50,1
atom-0301,Chiyoko,given,C,J,51,0
atom-0302,Chiyoko,given,J,J,51,1
atom-0303,Kazue,given,C,J,52,0
atom-0304,Kazue,given,J,J,52,1
atom-0305,Chieko,given,C,J,53,0
atom-0306,Chieko,given,J,J,53,1
atom-0307,Sumiko,given,C,J,54,0
atom-0308,Sumiko,given,J,J,54,1
atom-0309,Hiroyuki,given,C,J,55,0
atom-0310,Hiroyuki,given,J,J,55,1
atom-0311,Akiko,given,C,J,56,0
atom-0312,Akiko,given,J,J,56,1
atom-0313,Shigeo,given,C,J,57,0
atom-0314,Shigeo,given,J,J,57,1
atom-0315,Susumu,given,C,J,58,0
atom-0316,Susumu,given,J,J,58,1
atom-0317,Etsuko,given,C,J,59,0
atom-0318,Etsuko,given,J,J,59,1
atom-0319,Akio,given,C,J,60,0
atom-0320,Akio,given,J,J,60,1
atom-0321,Shigeko,given,C,J,61,0
atom-0322,Shigeko,given,J,J,61,1
atom-0323,Isamu,given,C,J,62,0
atom-0324,Isamu,given,J,J,62,1
atom-0325,Shizue,given,C,J,63,0
atom-0326,Shizue,given,J,J,63,1
atom-0327,Kenichi,given,C,J,64,0
atom-0328,Kenichi,given,J,J,64,1
atom-0329,Masaki,given,C,J,65,0
atom-0330,Masaki,given,J,J,65,1
atom-0331,Yaeko,given,C,J,66,0
atom-0332,Yaeko,given,J,J,66,1
atom-0333,Aiko,given,C,J,67,0
atom-0334,Aiko,given,J,J,67,1
atom-0335,Masahiro,given,C,J,68,0
atom-0336,Masahiro,given,J,J,68,1
atom-0337,Shinichi,given,C,J,69,0
atom-0338,Shinichi,given,J,J,69,1
atom-0339,Shoichi,given,C,J,70,0
atom-0340,Shoichi,given,J,J,70,1
atom-0341,Jitsu,given,C,J,71,0
atom-0342,Jitsu,given,J,J,71,1
atom-0343,Osamu,given,C,J,72,0
atom-0344,Osamu,given,J,J,72,1
atom-0345,Tomoko,given,C,J,73,0
atom-0346,Tomoko,given,J,J,73,1
atom-0347,Sadako,given,C,J,74,0
atom-0348,Sadako,given,J,J,74,1
atom-0349,Masayuki,given,C,J,75,0
atom-0350,Masayuki,given,J,J,75,1
atom-0351,Takeo,given,C,J,76,0
atom-0352,Takeo,given,J,J,76,1
atom-0353,Takao,given,C,J,77,0
atom-0354,Takao,given,J,J,77,1
atom-0355,Hideko,given,C,J,78,0
atom-0356,Hideko,given,J,J,78,1
atom-0357,Tsutomu,given,C,J,79,0
atom-0358,Tsutomu,given,J,J,79,1
atom-0359,Makoto,given,C,J,80,0
atom-0360,Makoto,given,J,J,80,1
atom-0361,Yoshiaki,given,C,J,81,0
atom-0362,Yoshiaki,given,J,J,81,1
atom-0363,Yuki,given,C,J,82,0
atom-0364,Yuki,given,J,J,82,1
atom-0365,Haruko,given,C,J,83,0
atom-0366,Haruko,given,J,J,83,1
atom-0367,Ayako,given,C,J,84,0
atom-0368,Ayako,given,J,J,84,1
atom-0369,Yuji,given,C,J,85,0
atom-0370,Yuji,given,J,J,85,1
atom-0371,Kimiko,given,C,J,86,0
atom-0372,Kimiko,given,J,J,86,1
atom-0373,Asahi,given,C,J,87,0
atom-0374,Asahi,given,J,J,87,1
atom-0375,Haruo,given,C,J,88,0
atom-0376,Haruo,given,J,J,88,1
atom-0377,Minoru,given,C,J,89,0
atom-0378,Minoru,given,J,J,89,1
atom-0379,Atsushi,given,C,J,90,0
atom-0380,Atsushi,given,J,J,90,1
atom-0381,Kachi,given,C,J,91,0
atom-0382,Kachi,given,J,J,91,1
atom-0383,Kiyo,given,C,J,92,0
atom-0384,Kiyo,given,J,J,92,1
atom-0385,Tetsuo,given,C,J,93,0
atom-0386,Tetsuo,given,J,J,93,1
atom-0387,Yoshihiro,given,C,J,94,0
atom-0388,Yoshihiro,given,J,J,94,1
atom-0389,Kunio,given,C,J,95,0
atom-0390,Kunio,given,J,J,95,1
atom-0391,Yutaka,given,C,J,96,0
atom-0392,Yutaka,given,J,J,96,1
atom-0393,Taeko,given,C,J,97,0
atom-0394,Taeko,given,J,J,97,1
atom-0395,Tatsuo,given,C,J,98,0
atom-0396,Tatsuo,given,J,J,98,1
atom-0397,Tadao,given,C,J,99,0
atom-0398,Tadao,given,J,J,99,1
atom-0399,Yukie,given,C,J,100,0
atom-0400,Yukie,given,J,J,100,1
atom-0401,Wang,surname,C,C,1,1
atom-0402,Wang,surname,J,C,1,0
atom-0403,Li,surname,C,C,2,1
atom-0404,Li,surname,J,C,2,0
atom-0405,Zhang,surname,C,C,3,1
atom-0406,Zhang,surname,J,C,3,0
atom-0407,Liu,surname,C,C,4,1
atom-0408,Liu,surname,J,C,4,0
atom-0409,Chen,surname,C,C,5,1
atom-0410,Chen,surname,J,C,5,0
atom-0411,Yang,surname,C,C,6,1
atom-0412,Yang,surname,J,C,6,0
atom-0413,Huang,surname,C,C,7,1
atom-0414,Huang,surname,J,C,7,0
atom-0415,Wu,surname,C,C,8,1
atom-0416,Wu,surname,J,C,8,0
atom-0417,Xu,surname,C,C,9,1
atom-0418,Xu,surname,J,C,9,0
atom-0419,Zhao,surname,C,C,10,1
atom-0420,Zhao,surname,J,C,10,0
atom-0421,Zhou,surname,C,C,11,1
atom-0422,Zhou,surname,J,C,11,0
atom-0423,Lu,surname,C,C,12,1
atom-0424,Lu,surname,J,C,12,0
atom-0425,Zhu,surname,C,C,13,1
atom-0426,Zhu,surname,J,C,13,0
atom-0427,Sun,surname,C,C,14,1
atom-0428,Sun,surname,J,C,14,0
atom-0429,He,surname,C,C,15,1
atom-0430,He,surname,J,C,15,0
atom-0431,Ma,surname,C,C,16,1
atom-0432,Ma,surname,J,C,16,0
atom-0433,Yu,surname,C,C,17,1
atom-0434,Yu,surname,J,C,17,0
atom-0435,Hu,surname,C,C,18,1
atom-0436,Hu,surname,J,C,18,0
atom-0437,Lin,surname,C,C,19,1
atom-0438,Lin,surname,J,C,19,0
atom-0439,Jiang,surname,C,C,20,1
atom-0440,Jiang,surname,J,C,20,0
atom-0441,Guo,surname,C,C,21,1
atom-0442,Guo,surname,J,C,21,0
atom-0443,Luo,surname,C,C,22,1
atom-0444,Luo,surname,J,C,22,0
atom-0445,Gao,surname,C,C,23,1
atom-0446,Gao,surname,J,C,23,0
atom-0447,Zheng,surname,C,C,24,1
atom-0448,Zheng,surname,J,C,24,0
atom-0449,Liang,surname,C,C,25,1
atom-0450,Liang,surname,J,C,25,0
atom-0451,Tang,surname,C,C,26,1
atom-0452,Tang,surname,J,C,26,0
atom-0453,Wei,surname,C,C,27,1
atom-0454,Wei,surname,J,C,27,0
atom-0455,Shi,surname,C,C,28,1
atom-0456,Shi,surname,J,C,28,0
atom-0457,Xie,surname,C,C,29,1
atom-0458,Xie,surname,J,C,29,0
atom-0459,Song,surname,C,C,30,1
atom-0460,Song,surname,J,C,30,0
atom-0461,Feng,surname,C,C,31,1
atom-0462,Feng,surname,J,C,31,0
atom-0463,Yan,surname,C,C,32,1
atom-0464,Yan,surname,J,C,32,0
atom-0465,Deng,surname,C,C,33,1
atom-0466,Deng,surname,J,C,33,0
atom-0467,Han,surname,C,C,34,1
atom-0468,Han,surname,J,C,34,0
atom-0469,Cao,surname,C,C,35,1
atom-0470,Cao,surname,J,C,35,0
atom-0471,Tan,surname,C,C,36,1
atom-0472,Tan,surname,J,C,36,0
atom-0473,Ceng,surname,C,C,37,1
atom-0474,Ceng,surname,J,C,37,0
atom-0475,Peng,surname,C,C,38,1
atom-0476,Peng,surname,J,C,38,0
atom-0477,Xiao,surname,C,C,39,1
atom-0478,Xiao,surname,J,C,39,0
atom-0479,Yuan,surname,C,C,40,1
atom-0480,Yuan,surname,J,C,40,0
atom-0481,Pan,surname,C,C,41,1
atom-0482,Pan,surname,J,C,41,0
atom-0483,Cai,surname,C,C,42,1
atom-0484,Cai,surname,J,C,42,0
atom-0485,Cheng,surname,C,C,43,1
atom-0486,Cheng,surname,J,C,43,0
atom-0487,Fan,surname,C,C,44,1
atom-0488,Fan,surname,J,C,44,0
atom-0489,Tian,surname,C,C,45,1
atom-0490,Tian,surname,J,C,45,0
atom-0491,Dong,surname,C,C,46,1
atom-0492,Dong,surname,J,C,46,0
atom-0493,Fu,surname,C,C,47,1
atom-0494,Fu,surname,J,C,47,0
atom-0495,Ye,surname,C,C,48,1
atom-0496,Ye,surname,J,C,48,0
atom-0497,Su,surname,C,C,49,1
atom-0498,Su,surname,J,C,49,0
atom-0499,Du,surname,C,C,50,1
atom-0500,Du,surname,J,C,50,0
atom-0501,Zhong,surname,C,C,51,1
atom-0502,Zhong,surname,J,C,51,0
atom-0503,Jin,surname,C,C,52,1
atom-0504,Jin,surname,J,C,52,0
atom-0505,Ding,surname,C,C,53,1
atom-0506,Ding,surname,J,C,53,0
atom-0507,Yao,surname,C,C,54,1
atom-0508,Yao,surname,J,C,54,0
atom-0509,Ren,surname,C,C,55,1
atom-0510,Ren,surname,J,C,55,0
atom-0511,Yin,surname,C,C,56,1
atom-0512,Yin,surname,J,C,56,0
atom-0513,Cui,surname,C,C,57,1
atom-0514,Cui,surname,J,C,57,0
atom-0515,Liao,surname,C,C,58,1
atom-0516,Liao,surname,J,C,58,0
atom-0517,Fang,surname,C,C,59,1
atom-0518,Fang,surname,J,C,59,0
atom-0519,Meng,surname,C,C,60,1
atom-0520,Meng,surname,J,C,60,0
atom-0521,Dai,surname,C,C,61,1
atom-0522,Dai,surname,J,C,61,0
atom-0523,Wen,surname,C,C,62,1
atom-0524,Wen,surname,J,C,62,0
atom-0525,Gu,surname,C,C,63,1
atom-0526,Gu,surname,J,C,63,0
atom-0527,Qiu,surname,C,C,64,1
atom-0528,Qiu,surname,J,C,64,0
atom-0529,Jia,surname,C,C,65,1
atom-0530,Jia,surname,J,C,65,0
atom-0531,Xia,surname,C,C,66,1
atom-0532,Xia,surname,J,C,66,0
atom-0533,Bai,surname,C,C,67,1
atom-0534,Bai,surname,J,C,67,0
atom-0535,Hou,surname,C,C,68,1
atom-0536,Hou,surname,J,C,68,0
atom-0537,Zou,surname,C,C,69,1
atom-0538,Zou,surname,J,C,69,0
atom-0539,Xiong,surname,C,C,70,1
atom-0540,Xiong,surname,J,C,70,0
atom-0541,Qin,surname,C,C,71,1
atom-0542,Qin,surname,J,C,71,0
atom-0543,Ji,surname,C,C,72,1
atom-0544,Ji,surname,J,C,72,0
atom-0545,Gong,surname,C,C,73,1
atom-0546,Gong,surname,J,C,73,0
atom-0547,Xue,surname,C,C,74,1
atom-0548,Xue,surname,J,C,74,0
atom-0549,Qi,surname,C,C,75,1
atom-0550,Qi,surname,J,C,75,0
atom-0551,Lei,surname,C,C,76,1
atom-0552,Lei,surname,J,C,76,0
atom-0553,Duan,surname,C,C,77,1
atom-0554,Duan,surname,J,C,77,0
atom-0555,Xiang,surname,C,C,78,1
atom-0556,Xiang,surname,J,C,78,0
atom-0557,Long,surname,C,C,79,1
atom-0558,Long,surname,J,C,79,0
atom-0559,Mao,surname,C,C,80,1
atom-0560,Mao,surname,J,C,80,0
atom-0561,Tao,surname,C,C,81,1
atom-0562,Tao,surname,J,C,81,0
atom-0563,Shao,surname,C,C,82,1
atom-0564,Shao,surname,J,C,82,0
atom-0565,Hao,surname,C,C,83,1
atom-0566,Hao,surname,J,C,83,0
atom-0567,Lai,surname,C,C,84,1
atom-0568,Lai,surname,J,C,84,0
atom-0569,Guan,surname,C,C,85,1
atom-0570,Guan,surname,J,C,85,0
atom-0571,Wan,surname,C,C,86,1
atom-0572,Wan,surname,J,C,86,0
atom-0573,Qian,surname,C,C,87,1
atom-0574,Qian,surname,J,C,87,0
atom-0575,Hong,surname,C,C,88,1
atom-0576,Hong,surname,J,C,88,0
atom-0577,Qu,surname,C,C,89,1
atom-0578,Qu,surname,J,C,89,0
atom-0579,Mo,surname,C,C,90,1
atom-0580,Mo,surname,J,C,90,0
atom-0581,Kong,surname,C,C,91,1
atom-0582,Kong,surname,J,C,91,0
atom-0583,Lan,surname,C,C,92,1
atom-0584,Lan,surname,J,C,92,0
atom-0585,Kang,surname,C,C,93,1
atom-0586,Kang,surname,J,C,93,0
atom-0587,Chang,surname,C,C,94,1
atom-0588,Chang,surname,J,C,94,0
atom-0589,Bao,surname,C,C,95,1
atom-0590,Bao,surname,J,C,95,0
atom-0591,Ge,surname,C,C,96,1
atom-0592,Ge,surname,J,C,96,0
atom-0593,Yi,surname,C,C,97,1
atom-0594,Yi,surname,J,C,97,0
atom-0595,Niu,surname,C,C,98,1
atom-0596,Niu,surname,J,C,98,0
atom-0597,Xing,surname,C,C,99,1
atom-0598,Xing,surname,J,C,99,0
atom-0599,Zhan,surname,C,C,100,1
atom-0600,Zhan,surname,J,C,100,0
atom-0601,Sato,surname,C,J,1,0
atom-0602,Sato,surname,J,J,1,1
atom-0603,Suzuki,surname,C,J,2,0
atom-0604,Suzuki,surname,J,J,2,1
atom-0605,Tanaka,surname,C,J,3,0
atom-0606,Tanaka,surname,J,J,3,1
atom-0607,Watanabe,surname,C,J,4,0
atom-0608,Watanabe,surname,J,J,4,1
atom-0609,Takahashi,surname,C,J,5,0
atom-0610,Takahashi,surname,J,J,5,1
atom-0611,Ito,surname,C,J,6,0
atom-0612,Ito,surname,J,J,6,1
atom-0613,Yamamoto,surname,C,J,7,0
atom-0614,Yamamoto,surname,J,J,7,1
atom-0615,Nakamura,surname,C,J,8,0
atom-0616,Nakamura,surname,J,J,8,1
atom-0617,Kobayashi,surname,C,J,9,0
atom-0618,Kobayashi,surname,J,J,9,1
atom-0619,Saito,surname,C,J,10,0
atom-0620,Saito,surname,J,J,10,1
atom-0621,Kato,surname,C,J,11,0
atom-0622,Kato,surname,J,J,11,1
atom-0623,Yoshida,surname,C,J,12,0
atom-0624,Yoshida,surname,J,J,12,1
atom-0625,Yamada,surname,C,J,13,0
atom-0626,Yamada,surname,J,J,13,1
atom-0627,Sasaki,surname,C,J,14,0
atom-0628,Sasaki,surname,J,J,14,1
atom-0629,Matsumoto,surname,C,J,15,0
atom-0630,Matsumoto,surname,J,J,15,1
atom-0631,Yamaguchi,surname,C,J,16,0
atom-0632,Yamaguchi,surname,J,J,16,1
atom-0633,Inoue,surname,C,J,17,0
atom-0634,Inoue,surname,J,J,17,1
atom-0635,Kimura,surname,C,J,18,0
atom-0636,Kimura,surname,J,J,18,1
atom-0637,Shimizu,surname,C,J,19,0
atom-0638,Shimizu,surname,J,J,19,1
atom-0639,Hayashi,surname,C,J,20,0
atom-0640,Hayashi,surname,J,J,20,1
atom-0641,Abe,surname,C,J,21,0
atom-0642,Abe,surname,J,J,21,1
atom-0643,Ono,surname,C,J,22,0
atom-0644,Ono,surname,J,J,22,1
atom-0645,Mori,surname,C,J,23,0
atom-0646,Mori,surname,J,J,23,1
atom-0647,Nakajima,surname,C,J,24,0
atom-0648,Nakajima,surname,J,J,24,1
atom-0649,Hashimoto,surname,C,J,25,0
atom-0650,Hashimoto,surname,J,J,25,1
atom-0651,Ikeda,surname,C,J,26,0
atom-0652,Ikeda,surname,J,J,26,1
atom-0653,Yamazaki,surname,C,J,27,0
